N,Tiempo
2405, 500
2406, 500
2407, 0
2408, 0
2409, 200
2410, 100
2411, 300
2412, 100
2413, 100
2414, 100
2415, 300
2416, 100
2417, 300
2418, 400
2419, 100
2420, 400
2421, 300
2422, 100
2423, 200
2424, 100
2425, 100
2426, 300
2427, 300
2428, 200
2429, 100
2430, 0
2431, 300
2432, 700
2433, 300
2434, 100
2435, 300
2436, 400
2437, 400
2438, 100
2439, 100
2440, 400
2441, 400
2442, 500
2443, 300
2444, 200
2445, 500
2446, 200
2447, 200
2448, 100
2449, 100
2450, 300
2451, 700
2452, 200
2453, 100
2454, 200
2455, 100
2456, 0
2457, 300
2458, 400
2459, 200
2460, 500
2461, 200
2462, 300
2463, 100
2464, 200
2465, 0
2466, 500
2467, 200
2468, 0
2469, 300
2470, 200
2471, 100
2472, 400
2473, 200
2474, 100
2475, 100
2476, 300
2477, 100
2478, 100
2479, 300
2480, 100
2481, 200
2482, 0
2483, 200
2484, 500
2485, 300
2486, 100
2487, 400
2488, 100
2489, 100
2490, 100
2491, 100
2492, 100
2493, 100
2494, 400
2495, 100
2496, 100
2497, 200
2498, 100
2499, 0
2500, 300
2501, 400
2502, 100
2503, 400
2504, 100
2505, 300
2506, 400
2507, 400
2508, 300
2509, 400
2510, 200
2511, 100
2512, 300
2513, 200
2514, 300
2515, 400
2516, 200
2517, 200
2518, 200
2519, 0
2520, 200
2521, 0
2522, 100
2523, 200
2524, 200
2525, 300
2526, 100
2527, 300
2528, 200
2529, 200
2530, 100
2531, 300
2532, 200
2533, 200
2534, 200
2535, 200
2536, 0
2537, 200
2538, 400
2539, 200
2540, 0
2541, 300
2542, 200
2543, 400
2544, 300
2545, 400
2546, 400
2547, 400
2548, 100
2549, 500
2550, 0
2551, 0
2552, 400
2553, 100
2554, 300
2555, 100
2556, 300
2557, 600
2558, 200
2559, 0
2560, 0
2561, 0
2562, 400
2563, 0
2564, 100
2565, 400
2566, 700
2567, 100
2568, 400
2569, 300
2570, 0
2571, 100
2572, 300
2573, 400
2574, 100
2575, 200
2576, 200
2577, 300
2578, 300
2579, 100
2580, 0
2581, 600
2582, 300
2583, 0
2584, 0
2585, 100
2586, 100
2587, 100
2588, 100
2589, 100
2590, 500
2591, 400
2592, 200
2593, 300
2594, 100
2595, 400
2596, 200
2597, 400
2598, 100
2599, 0
2600, 0
2601, 0
2602, 0
2603, 100
2604, 100
2605, 700
2606, 100
2607, 400
2608, 200
2609, 400
2610, 100
2611, 500
2612, 200
2613, 200
2614, 0
2615, 800
2616, 0
2617, 400
2618, 100
2619, 400
2620, 300
2621, 400
2622, 400
2623, 400
2624, 100
2625, 300
2626, 100
2627, 200
2628, 400
2629, 300
2630, 400
2631, 600
2632, 400
2633, 100
2634, 300
2635, 200
2636, 600
2637, 300
2638, 200
2639, 100
2640, 100
2641, 200
2642, 400
2643, 300
2644, 400
2645, 200
2646, 200
2647, 100
2648, 100
2649, 300
2650, 200
2651, 100
2652, 200
2653, 300
2654, 600
2655, 100
2656, 100
2657, 400
2658, 0
2659, 500
2660, 300
2661, 200
2662, 300
2663, 200
2664, 100
2665, 0
2666, 0
2667, 200
2668, 200
2669, 300
2670, 400
2671, 100
2672, 400
2673, 100
2674, 300
2675, 100
2676, 200
2677, 200
2678, 600
2679, 500
2680, 100
2681, 300
2682, 100
2683, 400
2684, 200
2685, 500
2686, 0
2687, 200
2688, 100
2689, 300
2690, 300
2691, 200
2692, 300
2693, 0
2694, 300
2695, 300
2696, 300
2697, 100
2698, 0
2699, 200
2700, 200
2701, 200
2702, 100
2703, 100
2704, 100
2705, 100
2706, 300
2707, 300
2708, 100
2709, 300
2710, 300
2711, 0
2712, 300
2713, 100
2714, 200
2715, 300
2716, 100
2717, 100
2718, 300
2719, 300
2720, 300
2721, 200
2722, 200
2723, 300
2724, 300
2725, 100
2726, 200
2727, 100
2728, 200
2729, 400
2730, 400
2731, 300
2732, 700
2733, 400
2734, 0
2735, 300
2736, 300
2737, 0
2738, 100
2739, 300
2740, 200
2741, 300
2742, 300
2743, 0
2744, 200
2745, 200
2746, 200
2747, 200
2748, 0
2749, 0
2750, 100
2751, 100
2752, 500
2753, 100
2754, 300
2755, 300
2756, 100
2757, 400
2758, 200
2759, 200
2760, 100
2761, 0
2762, 100
2763, 300
2764, 300
2765, 100
2766, 100
2767, 300
2768, 400
2769, 400
2770, 100
2771, 600
2772, 400
2773, 700
2774, 100
2775, 300
2776, 100
2777, 200
2778, 200
2779, 0
2780, 300
2781, 300
2782, 100
2783, 200
2784, 0
2785, 200
2786, 400
2787, 200
2788, 300
2789, 300
2790, 100
2791, 100
2792, 200
2793, 100
2794, 100
2795, 400
2796, 200
2797, 200
2798, 200
2799, 300
2800, 100
2801, 100
2802, 100
2803, 300
2804, 100
2805, 300
2806, 100
2807, 300
2808, 200
2809, 100
2810, 0
2811, 0
2812, 300
2813, 100
2814, 300
2815, 0
2816, 200
2817, 500
2818, 100
2819, 100
2820, 100
2821, 100
2822, 200
2823, 300
2824, 200
2825, 600
2826, 200
2827, 400
2828, 300
2829, 300
2830, 600
2831, 0
2832, 200
2833, 300
2834, 500
2835, 400
2836, 300
2837, 0
2838, 0
2839, 0
2840, 200
2841, 400
2842, 100
2843, 100
2844, 0
2845, 0
2846, 100
2847, 300
2848, 200
2849, 200
2850, 100
2851, 200
2852, 400
2853, 200
2854, 0
2855, 300
2856, 0
2857, 100
2858, 300
2859, 100
2860, 100
2861, 700
2862, 300
2863, 400
2864, 100
2865, 100
2866, 300
2867, 100
2868, 200
2869, 100
2870, 0
2871, 0
2872, 0
2873, 0
2874, 200
2875, 200
2876, 300
2877, 100
2878, 100
2879, 200
2880, 200
2881, 100
2882, 200
2883, 100
2884, 400
2885, 0
2886, 200
2887, 300
2888, 200
2889, 500
2890, 100
2891, 200
2892, 0
2893, 0
2894, 500
2895, 300
2896, 300
2897, 300
2898, 300
2899, 300
2900, 400
2901, 300
2902, 100
2903, 100
2904, 0
2905, 0
2906, 200
2907, 500
2908, 100
2909, 300
2910, 300
2911, 200
2912, 400
2913, 100
2914, 300
2915, 100
2916, 400
2917, 100
2918, 400
2919, 100
2920, 200
2921, 300
2922, 0
2923, 200
2924, 200
2925, 100
2926, 300
2927, 300
2928, 0
2929, 200
2930, 200
2931, 400
2932, 0
2933, 100
2934, 100
2935, 0
2936, 200
2937, 200
2938, 400
2939, 0
2940, 0
2941, 0
2942, 300
2943, 300
2944, 400
2945, 200
2946, 300
2947, 200
2948, 300
2949, 100
2950, 100
2951, 400
2952, 200
2953, 300
2954, 100
2955, 100
2956, 300
2957, 400
2958, 100
2959, 100
2960, 100
2961, 100
2962, 300
2963, 300
2964, 200
2965, 100
2966, 100
2967, 200
2968, 100
2969, 400
2970, 0
2971, 200
2972, 0
2973, 300
2974, 100
2975, 100
2976, 200
2977, 300
2978, 0
2979, 100
2980, 600
2981, 0
2982, 0
2983, 0
2984, 0
2985, 0
2986, 0
2987, 200
2988, 100
2989, 300
2990, 100
2991, 100
2992, 200
2993, 200
2994, 500
2995, 200
2996, 0
2997, 200
2998, 0
2999, 200
3000, 200
3001, 0
3002, 300
3003, 100
3004, 100
3005, 500
3006, 200
3007, 100
3008, 300
3009, 400
3010, 400
3011, 100
3012, 100
3013, 100
3014, 100
3015, 300
3016, 300
3017, 100
3018, 200
3019, 200
3020, 200
3021, 200
3022, 400
3023, 100
3024, 300
3025, 100
3026, 100
3027, 300
3028, 100
3029, 300
3030, 100
3031, 100
3032, 100
3033, 300
3034, 200
3035, 200
3036, 100
3037, 100
3038, 200
3039, 400
3040, 300
3041, 0
3042, 200
3043, 300
3044, 200
3045, 300
3046, 400
3047, 100
3048, 100
3049, 0
3050, 200
3051, 100
3052, 100
3053, 200
3054, 400
3055, 300
3056, 100
3057, 300
3058, 100
3059, 100
3060, 100
3061, 200
3062, 0
3063, 200
3064, 100
3065, 100
3066, 100
3067, 300
3068, 0
3069, 300
3070, 100
3071, 400
3072, 100
3073, 200
3074, 500
3075, 100
3076, 300
3077, 100
3078, 300
3079, 500
3080, 400
3081, 0
3082, 500
3083, 100
3084, 100
3085, 100
3086, 300
3087, 300
3088, 100
3089, 300
3090, 300
3091, 100
3092, 300
3093, 100
3094, 400
3095, 100
3096, 100
3097, 200
3098, 100
3099, 500
3100, 300
3101, 300
3102, 300
3103, 200
3104, 300
3105, 100
3106, 0
3107, 0
3108, 0
3109, 300
3110, 300
3111, 300
3112, 400
3113, 300
3114, 0
3115, 400
3116, 100
3117, 100
3118, 600
3119, 300
3120, 100
3121, 500
3122, 300
3123, 100
3124, 100
3125, 100
3126, 300
3127, 400
3128, 300
3129, 200
3130, 200
3131, 200
3132, 200
3133, 100
3134, 100
3135, 300
3136, 200
3137, 400
3138, 300
3139, 100
3140, 300
3141, 100
